表章項目,世帯区分,地域区分,時間軸（月次）,/品目分類（2025年改定）,185 えび【円】,186 かに【円】,1.4.1 牛乳【円】,305 梨【円】,356 アイスクリーム・シャーベット【円】
金額,二人以上の世帯（2000年～）,31201 鳥取市,2024年1月,,275,86,"1,425",2,563
金額,二人以上の世帯（2000年～）,31201 鳥取市,2024年2月,,278,662,"1,167",583,582
金額,二人以上の世帯（2000年～）,31201 鳥取市,2024年3月,,263,117,"1,367",0,899
金額,二人以上の世帯（2000年～）,31201 鳥取市,2024年4月,,269,87,"1,623",0,"1,032"
金額,二人以上の世帯（2000年～）,31201 鳥取市,2024年5月,,287,16,"1,592",0,"1,438"
金額,二人以上の世帯（2000年～）,31201 鳥取市,2024年6月,,185,21,"1,714",0,"1,537"
金額,二人以上の世帯（2000年～）,31201 鳥取市,2024年7月,,210,0,"1,782",346,"1,851"
金額,二人以上の世帯（2000年～）,31201 鳥取市,2024年8月,,299,0,"1,880","1,464","2,154"
金額,二人以上の世帯（2000年～）,31201 鳥取市,2024年9月,,250,17,"1,698","4,335","1,377"
金額,二人以上の世帯（2000年～）,31201 鳥取市,2024年10月,,227,374,"1,648","1,212",941
金額,二人以上の世帯（2000年～）,31201 鳥取市,2024年11月,,194,"2,492","1,416",393,608
金額,二人以上の世帯（2000年～）,31201 鳥取市,2024年12月,,542,"1,737","1,425",510,871
金額,二人以上の世帯（2000年～）,31201 鳥取市,2025年1月,,233,638,"1,338",148,718
金額,二人以上の世帯（2000年～）,31201 鳥取市,2025年2月,,113,106,"1,360",59,937
金額,二人以上の世帯（2000年～）,31201 鳥取市,2025年3月,,214,219,"1,203",6,940
金額,二人以上の世帯（2000年～）,31201 鳥取市,2025年4月,,229,191,"1,235",0,"1,093"
金額,二人以上の世帯（2000年～）,31201 鳥取市,2025年5月,,327,0,"1,262",0,"1,313"
金額,二人以上の世帯（2000年～）,31201 鳥取市,2025年6月,,112,91,"1,409",0,"1,474"
金額,二人以上の世帯（2000年～）,31201 鳥取市,2025年7月,,125,0,"1,576",793,"2,135"
金額,二人以上の世帯（2000年～）,31201 鳥取市,2025年8月,,251,73,"1,933","1,565","2,009"
金額,二人以上の世帯（2000年～）,31201 鳥取市,2025年9月,,215,30,"1,720","3,796","1,385"
金額,二人以上の世帯（2000年～）,31201 鳥取市,2025年10月,,261,13,"1,709",312,909
金額,二人以上の世帯（2000年～）,31201 鳥取市,2025年11月,,159,"1,556","1,603",99,626
金額,二人以上の世帯（2000年～）,31201 鳥取市,2025年12月,,520,"1,399","1,686",78,512
金額,二人以上の世帯（2000年～）,31201 鳥取市,2026年1月,,328,380,"1,519",681,390
金額,二人以上の世帯（2000年～）,31201 鳥取市,2026年2月,,282,445,"1,176",66,429
金額,二人以上の世帯（2000年～）,31201 鳥取市,2026年3月,,383,105,"1,433",0,654
